gruppo,mercato,ev_bin,n,ev_mean,hr,roi,pl
A,SEGNO,<0,0,,,,
A,SEGNO,0-5%,0,,,,
A,SEGNO,5-10%,0,,,,
A,SEGNO,10-20%,0,,,,
A,SEGNO,20-40%,0,,,,
A,SEGNO,40%+,0,,,,
A,DOPPIA_CHANCE,<0,0,,,,
A,DOPPIA_CHANCE,0-5%,0,,,,
A,DOPPIA_CHANCE,5-10%,0,,,,
A,DOPPIA_CHANCE,10-20%,0,,,,
A,DOPPIA_CHANCE,20-40%,0,,,,
A,DOPPIA_CHANCE,40%+,0,,,,
A,GOL,<0,88,-14.56,67.05,-7.31,-6.43
A,GOL,0-5%,11,2.24,63.64,11.91,1.31
A,GOL,5-10%,12,7.87,83.33,114.67,13.76
A,GOL,10-20%,3,16.19,66.67,114.33,3.43
A,GOL,20-40%,2,31.56,50.0,205.0,4.1
A,GOL,40%+,0,,,,
S,SEGNO,<0,0,,,,
S,SEGNO,0-5%,0,,,,
S,SEGNO,5-10%,0,,,,
S,SEGNO,10-20%,0,,,,
S,SEGNO,20-40%,0,,,,
S,SEGNO,40%+,0,,,,
S,DOPPIA_CHANCE,<0,0,,,,
S,DOPPIA_CHANCE,0-5%,0,,,,
S,DOPPIA_CHANCE,5-10%,0,,,,
S,DOPPIA_CHANCE,10-20%,0,,,,
S,DOPPIA_CHANCE,20-40%,0,,,,
S,DOPPIA_CHANCE,40%+,0,,,,
S,GOL,<0,2,-23.31,100.0,79.5,1.59
S,GOL,0-5%,2,1.88,50.0,-32.5,-0.65
S,GOL,5-10%,1,6.02,0.0,-200.0,-2.0
S,GOL,10-20%,2,13.22,50.0,-76.0,-1.52
S,GOL,20-40%,1,29.86,100.0,805.0,8.05
S,GOL,40%+,0,,,,
C,SEGNO,<0,107,-14.15,58.88,-28.45,-30.44
C,SEGNO,0-5%,17,2.14,52.94,-42.65,-7.25
C,SEGNO,5-10%,17,7.32,82.35,155.94,26.51
C,SEGNO,10-20%,31,14.7,45.16,-105.32,-32.65
C,SEGNO,20-40%,67,28.69,49.25,-53.82,-36.06
C,SEGNO,40%+,92,92.47,48.91,259.88,239.09
C,DOPPIA_CHANCE,<0,0,,,,
C,DOPPIA_CHANCE,0-5%,0,,,,
C,DOPPIA_CHANCE,5-10%,0,,,,
C,DOPPIA_CHANCE,10-20%,0,,,,
C,DOPPIA_CHANCE,20-40%,0,,,,
C,DOPPIA_CHANCE,40%+,0,,,,
C,GOL,<0,11,-4.0,72.73,54.0,5.94
C,GOL,0-5%,18,2.36,88.89,130.83,23.55
C,GOL,5-10%,32,7.09,40.62,-106.0,-33.92
C,GOL,10-20%,62,15.22,61.29,41.31,25.61
C,GOL,20-40%,52,28.14,51.92,-19.54,-10.16
C,GOL,40%+,13,53.47,69.23,251.92,32.75
A+S,SEGNO,<0,0,,,,
A+S,SEGNO,0-5%,0,,,,
A+S,SEGNO,5-10%,0,,,,
A+S,SEGNO,10-20%,0,,,,
A+S,SEGNO,20-40%,0,,,,
A+S,SEGNO,40%+,0,,,,
A+S,DOPPIA_CHANCE,<0,44,-17.86,75.0,66.84,29.41
A+S,DOPPIA_CHANCE,0-5%,2,1.78,0.0,-150.0,-3.0
A+S,DOPPIA_CHANCE,5-10%,1,6.29,100.0,155.0,1.55
A+S,DOPPIA_CHANCE,10-20%,3,15.02,66.67,178.0,5.34
A+S,DOPPIA_CHANCE,20-40%,4,24.78,100.0,125.25,5.01
A+S,DOPPIA_CHANCE,40%+,0,,,,
A+S,GOL,<0,142,-11.42,59.86,-32.05,-45.51
A+S,GOL,0-5%,30,3.11,70.0,-6.5,-1.95
A+S,GOL,5-10%,17,7.44,82.35,52.71,8.96
A+S,GOL,10-20%,12,12.63,50.0,-74.0,-8.88
A+S,GOL,20-40%,4,26.71,50.0,-185.25,-7.41
A+S,GOL,40%+,4,44.87,50.0,15.0,0.6
C-derivati,SEGNO,<0,0,,,,
C-derivati,SEGNO,0-5%,0,,,,
C-derivati,SEGNO,5-10%,2,7.2,0.0,-900.0,-18.0
C-derivati,SEGNO,10-20%,10,16.54,60.0,-71.0,-7.1
C-derivati,SEGNO,20-40%,12,29.15,50.0,-186.0,-22.32
C-derivati,SEGNO,40%+,47,98.19,25.53,-108.83,-51.15
C-derivati,DOPPIA_CHANCE,<0,146,-21.67,58.22,-11.75,-17.15
C-derivati,DOPPIA_CHANCE,0-5%,14,1.74,78.57,110.43,15.46
C-derivati,DOPPIA_CHANCE,5-10%,8,7.24,75.0,179.37,14.35
C-derivati,DOPPIA_CHANCE,10-20%,8,16.11,37.5,-182.75,-14.62
C-derivati,DOPPIA_CHANCE,20-40%,19,30.03,42.11,-93.11,-17.69
C-derivati,DOPPIA_CHANCE,40%+,16,78.31,50.0,130.62,20.9
C-derivati,GOL,<0,115,-18.19,72.17,12.92,14.86
C-derivati,GOL,0-5%,8,3.25,62.5,6.0,0.48
C-derivati,GOL,5-10%,14,8.1,78.57,70.43,9.86
C-derivati,GOL,10-20%,38,14.22,52.63,-44.0,-16.72
C-derivati,GOL,20-40%,43,30.59,53.49,8.7,3.74
C-derivati,GOL,40%+,25,60.82,60.0,26.16,6.54
Altro,SEGNO,<0,0,,,,
Altro,SEGNO,0-5%,0,,,,
Altro,SEGNO,5-10%,0,,,,
Altro,SEGNO,10-20%,0,,,,
Altro,SEGNO,20-40%,0,,,,
Altro,SEGNO,40%+,3,73.83,33.33,-80.0,-2.4
Altro,DOPPIA_CHANCE,<0,0,,,,
Altro,DOPPIA_CHANCE,0-5%,0,,,,
Altro,DOPPIA_CHANCE,5-10%,0,,,,
Altro,DOPPIA_CHANCE,10-20%,0,,,,
Altro,DOPPIA_CHANCE,20-40%,0,,,,
Altro,DOPPIA_CHANCE,40%+,0,,,,
Altro,GOL,<0,17,-12.4,52.94,13.12,2.23
Altro,GOL,0-5%,2,2.91,100.0,385.0,7.7
Altro,GOL,5-10%,0,,,,
Altro,GOL,10-20%,1,18.27,100.0,92.0,0.92
Altro,GOL,20-40%,2,27.92,50.0,-306.0,-6.12
Altro,GOL,40%+,0,,,,
